"id_sector","tot_per_cen","opp_cen","opa_cen","temp_cen","desop","const_cen","tot_viv_cen","id_prov","dpa_despro","dpa_descan","dpa_despar","tot_viv_prec","tot_per_prec","ocup_prec","temp_prec","desop_prec","const_prec","colec_prec","id_can","id_par"
"030250002001",188,59,1,8,34,1,103,"03","CAÑAR","BIBLIAN","BIBLIAN",105,205,61,24,13,6,1,"0302","030250"
"030250002002",309,82,0,13,49,1,145,"03","CAÑAR","BIBLIAN","BIBLIAN",145,254,69,36,37,3,0,"0302","030250"
"030250002003",204,70,0,10,43,4,127,"03","CAÑAR","BIBLIAN","BIBLIAN",122,246,75,20,25,2,0,"0302","030250"
"030250002004",222,67,0,8,36,1,112,"03","CAÑAR","BIBLIAN","BIBLIAN",106,250,74,13,16,3,0,"0302","030250"
"030250002005",226,68,0,14,29,1,112,"03","CAÑAR","BIBLIAN","BIBLIAN",111,263,81,14,13,3,0,"0302","030250"
"030250002006",341,107,0,3,91,0,201,"03","CAÑAR","BIBLIAN","BIBLIAN",196,288,82,56,56,1,1,"0302","030250"
"030250002007",492,138,2,27,35,5,207,"03","CAÑAR","BIBLIAN","BIBLIAN",194,467,129,28,30,7,0,"0302","030250"
"030250002008",305,93,0,2,40,0,135,"03","CAÑAR","BIBLIAN","BIBLIAN",128,361,96,14,15,1,2,"0302","030250"
"030250002009",178,57,0,0,45,0,102,"03","CAÑAR","BIBLIAN","BIBLIAN",100,218,62,19,15,3,1,"0302","030250"
"030250002010",234,68,0,1,42,0,111,"03","CAÑAR","BIBLIAN","BIBLIAN",106,264,72,17,15,2,0,"0302","030250"
"030250999001",141,38,1,20,52,0,111,"03","CAÑAR","BIBLIAN","BIBLIAN",124,196,53,41,30,0,0,"0302","030250"
"030250999002",175,50,0,21,43,3,117,"03","CAÑAR","BIBLIAN","BIBLIAN",126,186,46,24,52,4,0,"0302","030250"
"030250999003",55,19,0,17,8,2,46,"03","CAÑAR","BIBLIAN","BIBLIAN",47,84,23,8,13,3,0,"0302","030250"
"030250999004",192,50,1,8,29,1,89,"03","CAÑAR","BIBLIAN","BIBLIAN",85,202,49,12,20,4,0,"0302","030250"
"030250999005",92,26,0,25,10,4,65,"03","CAÑAR","BIBLIAN","BIBLIAN",64,124,27,21,12,4,0,"0302","030250"
